Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Ron Holland,DET,IND,L,9.42,2,7,0.286,2,4,0.5,0,0,0.0,1,1,2,1,0,0,0,0,6,3.6,2025-01-29
Tyus Jones,PHO,MIN,L,23.77,2,7,0.286,1,2,0.5,0,0,0.0,0,3,3,3,1,0,1,1,5,3.5,2025-01-29
Kessler Edwards,DAL,NOP,W,15.27,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,2,0,1,0,3,2,3.2,2025-01-29
Yves Missi,NOP,DAL,L,29.27,0,4,0.0,0,0,0.0,0,0,0.0,3,4,7,1,0,4,0,2,0,3.2,2025-01-29
Jaylon Tyson,CLE,MIA,W,29.7,2,7,0.286,0,3,0.0,0,0,0.0,3,2,5,4,0,0,1,3,4,3.2,2025-01-29
Corey Kispert,WAS,TOR,L,23.73,4,11,0.364,0,5,0.0,0,0,0.0,0,1,1,0,2,1,1,2,8,3.1,2025-01-29
Julian Strawther,DEN,NYK,L,19.05,2,6,0.333,1,4,0.25,0,0,0.0,0,4,4,0,0,1,0,1,5,3.1,2025-01-29
Kevin Huerter,SAC,PHI,L,9.98,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,1,0,0,0,0,5,3.0,2025-01-29
Pelle Larsson,MIA,CLE,L,13.83,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,0,0,3.0,2025-01-29
Olivier-Maxence Prosper,DAL,NOP,W,14.9,1,2,0.5,0,0,0.0,2,4,0.5,0,3,3,1,1,0,1,2,4,3.0,2025-01-29
Tristan Vukcevic,WAS,TOR,L,8.32,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,2,0,0,1,0,3,3.0,2025-01-29
Luguentz Dort,OKC,GSW,L,35.77,2,8,0.25,0,4,0.0,0,0,0.0,5,1,6,2,1,0,1,4,4,2.8,2025-01-29
RayJ Dennis,IND,DET,W,1.78,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7,2025-01-29
Naji Marshall,DAL,NOP,W,15.05,2,5,0.4,1,3,0.333,0,0,0.0,0,0,0,2,0,0,1,0,5,2.7,2025-01-29
Nick Richards,PHO,MIN,L,25.0,3,7,0.429,0,0,0.0,1,2,0.5,1,4,5,1,0,0,2,2,7,2.7,2025-01-29
DeAndre Jordan,DEN,NYK,L,8.43,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,2,2.6,2025-01-29
Cason Wallace,OKC,GSW,L,25.92,1,5,0.2,0,3,0.0,0,0,0.0,1,2,3,2,3,1,2,2,2,2.5,2025-01-29
Jaylin Williams,OKC,GSW,L,14.47,0,4,0.0,0,4,0.0,2,2,1.0,1,5,6,2,0,0,0,1,2,2.4,2025-01-29
Seth Curry,CHO,BRK,L,15.85,2,6,0.333,2,3,0.667,0,0,0.0,0,1,1,1,0,0,1,1,6,2.2,2025-01-29
Royce O'Neale,PHO,MIN,L,31.7,2,8,0.25,0,4,0.0,0,0,0.0,1,4,5,1,2,0,0,4,4,2.2,2025-01-29
Mason Plumlee,PHO,MIN,L,14.58,0,2,0.0,0,0,0.0,3,4,0.75,1,2,3,1,0,1,1,2,3,2.1,2025-01-29
Jevon Carter,CHI,BOS,L,3.75,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,3,2.0,2025-01-29
Luka Garza,MIN,PHO,W,4.47,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,2025-01-29
Tristan Thompson,CLE,MIA,W,5.78,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,2.0,2025-01-29
Jaylen Clark,MIN,PHO,W,10.1,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,2,1.9,2025-01-29
Sandro Mamukelashvili,SAS,LAC,L,4.35,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,1.9,2025-01-29
Julian Phillips,CHI,BOS,L,10.9,2,5,0.4,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,1,5,1.9,2025-01-29
Jarace Walker,IND,DET,W,20.55,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,2,0,2,2,2,3,1.9,2025-01-29
Peyton Watson,DEN,NYK,L,19.48,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,4,1.9,2025-01-29
Kyle Anderson,GSW,OKC,W,14.85,1,4,0.25,0,0,0.0,0,0,0.0,0,3,3,3,0,2,1,3,2,1.8,2025-01-29
Kobe Brown,LAC,SAS,W,1.15,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,2025-01-29
Bilal Coulibaly,WAS,TOR,L,25.1,1,6,0.167,1,4,0.25,5,6,0.833,1,1,2,1,1,0,4,2,8,1.7,2025-01-29
Anthony Gill,WAS,TOR,L,6.25,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,1.6,2025-01-29
Gui Santos,GSW,OKC,W,19.17,1,3,0.333,0,2,0.0,1,1,1.0,1,6,7,2,0,0,2,4,3,1.6,2025-01-29
Tim Hardaway Jr.,DET,IND,L,28.17,1,3,0.333,1,2,0.5,0,1,0.0,0,2,2,2,0,0,1,1,3,1.5,2025-01-29
Jaden Hardy,DAL,NOP,W,6.48,2,6,0.333,2,4,0.5,0,0,0.0,0,1,1,0,0,0,1,1,6,1.5,2025-01-29
Keon Ellis,SAC,PHI,L,17.73,2,10,0.2,2,9,0.222,0,0,0.0,1,2,3,2,1,0,1,3,6,1.3,2025-01-29
Taj Gibson,CHO,BRK,L,17.63,0,4,0.0,0,0,0.0,0,2,0.0,5,5,10,2,0,3,2,4,0,1.3,2025-01-29
DaQuan Jeffries,CHO,BRK,L,21.1,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,1.3,2025-01-29
KJ Simpson,CHO,BRK,L,26.7,1,10,0.1,0,4,0.0,5,6,0.833,2,1,3,2,0,2,2,3,7,1.3,2025-01-29
Moses Moody,GSW,OKC,W,16.9,2,8,0.25,0,6,0.0,1,2,0.5,2,0,2,0,1,0,1,0,5,1.2,2025-01-29
Obi Toppin,IND,DET,W,16.53,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.9,2025-01-29
Dalen Terry,CHI,BOS,L,12.98,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,3,2,0.8,2025-01-29
Ousmane Dieng,OKC,GSW,L,6.55,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,0,0.7,2025-01-29
Bobi Klintman,DET,IND,L,1.78,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-01-29
Jordan Miller,LAC,SAS,W,1.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-01-29
Wendell Moore Jr.,DET,IND,L,1.78,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-01-29
Neemias Queta,BOS,CHI,W,1.72,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-01-29
Paul Reed,DET,IND,L,8.95,1,3,0.333,0,0,0.0,0,0,0.0,0,4,4,0,1,0,1,2,2,0.7,2025-01-29
Johnny Furphy,IND,DET,W,3.73,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0.6,2025-01-29
Luke Kornet,BOS,CHI,W,14.6,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,2,0.5,2025-01-29
Isaiah Stewart,DET,IND,L,7.77,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,1,0,0,0,2,1,0.5,2025-01-29
Carlton Carrington,WAS,TOR,L,22.78,1,4,0.25,1,3,0.333,0,0,0.0,1,1,2,1,0,0,2,0,3,0.3,2025-01-29
Jordan Walsh,BOS,CHI,W,1.72,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2025-01-29
Landry Shamet,NYK,DEN,W,4.53,0,0,0.0,0,0,0.0,0,2,0.0,1,0,1,1,0,0,0,1,0,0.2,2025-01-29
Ja'Kobe Walter,TOR,WAS,W,22.45,2,9,0.222,0,4,0.0,0,0,0.0,0,0,0,2,1,0,0,2,4,0.1,2025-01-29
Devin Carter,SAC,PHI,L,2.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,2025-01-29
Alex Caruso,OKC,GSW,L,0.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-01-29
Collin Gillespie,PHO,MIN,L,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-01-29
Talen Horton-Tucker,CHI,BOS,L,1.83,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-01-29
Oso Ighodaro,PHO,MIN,L,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-01-29
Pete Nance,PHI,SAC,W,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-01-29
Patrick Baldwin Jr.,WAS,TOR,L,6.25,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,1,0,2,0,0,-0.1,2025-01-29
Aaron Nesmith,IND,DET,W,32.1,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,1,0,2,0,-0.2,2025-01-29
Aaron Wiggins,OKC,GSW,L,14.13,1,5,0.2,0,4,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,-0.2,2025-01-29
Alex Len,SAC,PHI,L,4.32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-0.3,2025-01-29
Amir Coffey,LAC,SAS,W,22.07,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-0.4,2025-01-29
Josh Minott,MIN,PHO,W,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2025-01-29
Jaime Jaquez Jr.,MIA,CLE,L,6.67,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,0,0,-0.5,2025-01-29
Drew Peterson,BOS,CHI,W,5.02,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-0.5,2025-01-29
Emoni Bates,CLE,MIA,W,1.27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2025-01-29
Josh Christopher,MIA,CLE,L,1.27,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2025-01-29
James Johnson,IND,DET,W,1.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2025-01-29
Chris Boucher,TOR,WAS,W,15.25,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,4,3,-1.0,2025-01-29
Garrett Temple,TOR,WAS,W,6.25,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-1.1,2025-01-29
Kenrich Williams,OKC,GSW,L,9.22,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,2,0,-1.2,2025-01-29
Terance Mann,LAC,SAS,W,11.4,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,2,2,-1.5,2025-01-29
Johnny Davis,WAS,TOR,L,8.32,0,2,0.0,0,1,0.0,0,2,0.0,1,0,1,1,0,0,1,0,0,-1.8,2025-01-29
Quinten Post,GSW,OKC,W,8.13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,0,-3.2,2025-01-29
Jordan Poole,WAS,TOR,L,28.85,1,9,0.111,0,5,0.0,1,1,1.0,0,0,0,2,0,2,3,3,3,-4.3,2025-01-29
Nick Smith Jr.,CHO,BRK,L,27.02,1,10,0.1,0,7,0.0,0,0,0.0,0,5,5,2,0,0,3,2,2,-5.5,2025-01-29
Anthony Edwards,MIN,UTA,W,35.37,12,18,0.667,6,9,0.667,6,7,0.857,1,5,6,11,0,3,3,3,36,35.6,2025-01-30
Zaccharie Risacher,ATL,CLE,L,25.43,11,14,0.786,5,6,0.833,3,6,0.5,0,1,1,1,2,0,0,1,30,26.0,2025-01-30
Deandre Ayton,POR,ORL,W,34.63,10,12,0.833,0,0,0.0,2,4,0.5,4,4,8,3,3,0,2,0,22,23.9,2025-01-30
Shake Milton,LAL,WAS,W,27.92,7,8,0.875,1,2,0.5,6,6,1.0,1,3,4,4,2,0,0,2,21,23.8,2025-01-30
LeBron James,LAL,WAS,W,26.57,9,19,0.474,1,4,0.25,5,5,1.0,0,3,3,11,0,0,0,1,24,22.5,2025-01-30
Keyonte George,UTA,MIN,L,26.92,7,7,1.0,2,2,1.0,7,8,0.875,0,1,1,3,0,1,1,2,23,21.8,2025-01-30
Ty Jerome,CLE,ATL,W,26.07,9,11,0.818,1,2,0.5,1,1,1.0,0,2,2,6,2,0,1,1,20,21.3,2025-01-30
Rudy Gobert,MIN,UTA,W,34.02,6,8,0.75,0,0,0.0,4,6,0.667,3,6,9,5,0,4,1,0,16,21.2,2025-01-30
Amen Thompson,HOU,MEM,L,38.28,7,15,0.467,0,0,0.0,7,9,0.778,1,6,7,4,1,4,1,2,21,19.8,2025-01-30
Donovan Mitchell,CLE,ATL,W,27.35,8,16,0.5,4,10,0.4,4,5,0.8,0,1,1,6,1,0,1,1,24,19.7,2025-01-30
Scoot Henderson,POR,ORL,W,32.33,7,16,0.438,3,5,0.6,6,6,1.0,2,3,5,7,2,0,3,3,23,19.6,2025-01-30
Darius Garland,CLE,ATL,W,30.32,11,20,0.55,2,6,0.333,2,2,1.0,0,2,2,7,2,0,3,4,26,19.3,2025-01-30
Rui Hachimura,LAL,WAS,W,25.53,9,12,0.75,4,5,0.8,0,0,0.0,0,4,4,0,1,1,1,1,22,18.7,2025-01-30
Shaedon Sharpe,POR,ORL,W,32.78,9,14,0.643,3,6,0.5,2,2,1.0,1,1,2,2,1,0,1,2,23,18.4,2025-01-30
De'Andre Hunter,ATL,CLE,L,30.65,6,13,0.462,1,7,0.143,12,12,1.0,2,3,5,2,1,0,4,2,25,18.2,2025-01-30
Evan Mobley,CLE,ATL,W,27.12,7,12,0.583,0,2,0.0,2,2,1.0,2,8,10,4,1,1,1,0,16,17.7,2025-01-30
Desmond Bane,MEM,HOU,W,39.58,11,24,0.458,0,2,0.0,2,3,0.667,2,10,12,6,0,0,2,2,24,17.0,2025-01-30
Jalen Green,HOU,MEM,L,38.5,8,21,0.381,5,10,0.5,4,5,0.8,1,5,6,5,0,0,2,1,25,16.4,2025-01-30
Rob Dillingham,MIN,UTA,W,23.05,8,11,0.727,3,5,0.6,0,1,0.0,0,0,0,8,1,0,4,1,19,16.3,2025-01-30
Franz Wagner,ORL,POR,L,31.45,8,17,0.471,1,5,0.2,7,8,0.875,2,1,3,3,0,0,1,4,24,16.1,2025-01-30
Luka Garza,MIN,UTA,W,13.77,6,8,0.75,2,2,1.0,2,2,1.0,3,1,4,0,0,1,0,0,16,15.9,2025-01-30
Brandon Clarke,MEM,HOU,W,30.6,6,7,0.857,0,0,0.0,1,2,0.5,2,3,5,0,3,2,0,4,13,15.2,2025-01-30
Luke Kennard,MEM,HOU,W,33.1,9,15,0.6,3,6,0.5,1,2,0.5,0,1,1,2,2,0,3,1,22,15.0,2025-01-30
Jaren Jackson Jr.,MEM,HOU,W,30.98,7,15,0.467,1,4,0.25,6,7,0.857,0,4,4,4,1,0,1,5,21,14.9,2025-01-30
Naz Reid,MIN,UTA,W,28.12,4,5,0.8,4,5,0.8,0,0,0.0,0,4,4,4,1,0,0,1,12,14.7,2025-01-30
Jarrett Allen,CLE,ATL,W,30.55,3,3,1.0,0,0,0.0,3,4,0.75,3,12,15,2,0,0,0,1,9,14.4,2025-01-30
Collin Sexton,UTA,MIN,L,29.52,5,9,0.556,2,3,0.667,7,8,0.875,0,3,3,5,0,0,3,4,19,14.1,2025-01-30
Steven Adams,HOU,MEM,L,23.02,4,9,0.444,0,0,0.0,3,3,1.0,7,3,10,3,1,0,1,2,11,13.4,2025-01-30
Onyeka Okongwu,ATL,CLE,L,28.13,6,11,0.545,1,2,0.5,1,2,0.5,4,3,7,4,1,0,2,2,14,13.0,2025-01-30
Nickeil Alexander-Walker,MIN,UTA,W,31.88,5,12,0.417,5,10,0.5,0,0,0.0,0,4,4,5,1,0,1,2,15,12.5,2025-01-30
Jaylon Tyson,CLE,ATL,W,16.75,6,9,0.667,1,3,0.333,2,2,1.0,1,4,5,0,0,1,0,3,15,12.5,2025-01-30
Jaylen Wells,MEM,HOU,W,30.05,5,7,0.714,1,3,0.333,0,0,0.0,0,3,3,3,1,1,0,1,11,12.4,2025-01-30
Austin Reaves,LAL,WAS,W,30.08,6,14,0.429,4,7,0.571,1,2,0.5,0,6,6,5,0,0,2,1,17,12.1,2025-01-30
Jaxson Hayes,LAL,WAS,W,25.13,4,4,1.0,0,0,0.0,2,2,1.0,2,8,10,2,0,3,3,4,10,11.5,2025-01-30
Max Christie,LAL,WAS,W,29.78,4,7,0.571,3,5,0.6,2,2,1.0,0,4,4,3,1,0,1,4,13,11.4,2025-01-30
Trae Young,ATL,CLE,L,31.85,5,16,0.313,2,8,0.25,3,4,0.75,0,1,1,10,1,0,2,1,15,11.3,2025-01-30
Jordan Clarkson,UTA,MIN,L,25.17,6,13,0.462,3,8,0.375,1,1,1.0,0,0,0,3,2,0,1,3,16,11.2,2025-01-30
Santi Aldama,MEM,HOU,W,26.25,6,13,0.462,3,8,0.375,0,0,0.0,1,4,5,1,0,2,0,3,15,11.1,2025-01-30
Wendell Carter Jr.,ORL,POR,L,25.32,3,7,0.429,0,1,0.0,6,6,1.0,2,5,7,1,1,0,1,2,12,11.1,2025-01-30
Deni Avdija,POR,ORL,W,24.62,2,8,0.25,0,2,0.0,7,8,0.875,0,5,5,5,0,2,1,1,11,10.8,2025-01-30
Max Strus,CLE,ATL,W,20.58,4,5,0.8,3,4,0.75,0,0,0.0,1,4,5,3,1,0,3,1,11,10.7,2025-01-30
Jonathan Isaac,ORL,POR,L,15.72,1,2,0.5,0,0,0.0,2,2,1.0,3,2,5,1,3,2,0,1,4,10.4,2025-01-30
Dillon Brooks,HOU,MEM,L,30.47,9,17,0.529,3,7,0.429,1,1,1.0,1,1,2,0,0,0,2,6,22,10.3,2025-01-30
Corey Kispert,WAS,LAL,L,17.65,4,7,0.571,1,4,0.25,2,2,1.0,2,1,3,0,1,1,0,2,11,10.3,2025-01-30
Paolo Banchero,ORL,POR,L,33.27,10,23,0.435,0,4,0.0,1,3,0.333,1,5,6,3,1,0,3,1,21,10.0,2025-01-30
Jarred Vanderbilt,LAL,WAS,W,16.17,2,3,0.667,0,0,0.0,0,0,0.0,4,3,7,2,4,0,1,2,4,10.0,2025-01-30
John Collins,UTA,MIN,L,28.0,5,12,0.417,2,3,0.667,4,5,0.8,1,4,5,1,1,2,3,4,16,9.6,2025-01-30
Tari Eason,HOU,MEM,L,29.68,6,12,0.5,1,3,0.333,0,1,0.0,4,8,12,0,0,0,2,1,13,9.4,2025-01-30
Fred VanVleet,HOU,MEM,L,36.05,4,12,0.333,2,8,0.25,3,3,1.0,0,1,1,5,1,1,2,1,13,9.3,2025-01-30
Isaiah Collier,UTA,MIN,L,30.02,5,7,0.714,1,2,0.5,0,0,0.0,0,2,2,7,0,0,4,1,11,9.2,2025-01-30
Jock Landale,HOU,MEM,L,16.38,2,3,0.667,1,1,1.0,3,4,0.75,2,1,3,2,1,0,0,3,8,9.2,2025-01-30
Jordan Poole,WAS,LAL,L,25.18,5,15,0.333,3,10,0.3,6,7,0.857,1,4,5,2,0,0,3,4,19,8.8,2025-01-30
Mouhamed Gueye,ATL,CLE,L,15.53,4,7,0.571,0,2,0.0,0,1,0.0,0,2,2,1,3,1,0,2,8,8.5,2025-01-30
Dyson Daniels,ATL,CLE,L,30.48,3,8,0.375,1,1,1.0,0,0,0.0,1,6,7,5,1,0,1,1,7,8.2,2025-01-30
Cole Anthony,ORL,POR,L,23.82,6,15,0.4,3,7,0.429,1,1,1.0,1,0,1,2,1,1,2,4,16,8.1,2025-01-30
Dalano Banton,POR,ORL,W,14.78,3,5,0.6,2,4,0.5,3,4,0.75,0,2,2,0,0,0,1,0,11,7.9,2025-01-30
Lauri Markkanen,UTA,MIN,L,31.28,5,13,0.385,3,10,0.3,2,3,0.667,1,1,2,0,0,1,1,1,15,7.8,2025-01-30
Richaun Holmes,WAS,LAL,L,15.08,3,4,0.75,0,0,0.0,0,0,0.0,1,4,5,1,1,1,1,1,6,7.3,2025-01-30
Jaylen Clark,MIN,UTA,W,17.07,2,3,0.667,1,2,0.5,1,2,0.5,0,3,3,2,2,0,0,5,6,6.6,2025-01-30
Jabari Walker,POR,ORL,W,19.02,3,4,0.75,2,2,1.0,2,2,1.0,0,4,4,0,0,0,2,3,10,6.4,2025-01-30
Georges Niang,CLE,ATL,W,17.88,2,6,0.333,2,6,0.333,4,4,1.0,1,2,3,0,0,0,0,4,10,6.3,2025-01-30
Anfernee Simons,POR,ORL,W,21.48,3,9,0.333,2,4,0.5,0,0,0.0,0,2,2,3,0,1,0,0,8,6.3,2025-01-30
Tristan Vukcevic,WAS,LAL,L,12.0,3,6,0.5,1,3,0.333,2,2,1.0,2,1,3,1,0,0,2,1,9,6.0,2025-01-30
Kyshawn George,WAS,LAL,L,26.6,2,8,0.25,2,5,0.4,0,0,0.0,1,3,4,0,1,3,0,0,6,5.9,2025-01-30
Toumani Camara,POR,ORL,W,35.17,3,4,0.75,0,1,0.0,1,2,0.5,0,5,5,2,0,2,2,4,7,5.7,2025-01-30
Sam Merrill,CLE,ATL,W,23.72,2,6,0.333,0,4,0.0,0,0,0.0,2,1,3,4,2,1,1,3,4,5.6,2025-01-30
Scotty Pippen Jr.,MEM,HOU,W,12.35,1,2,0.5,0,0,0.0,2,2,1.0,2,1,3,5,0,0,1,4,4,5.6,2025-01-30
Drew Eubanks,UTA,MIN,L,12.93,3,4,0.75,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,6,5.4,2025-01-30
Garrison Mathews,ATL,CLE,L,17.38,2,5,0.4,2,5,0.4,0,0,0.0,1,4,5,0,0,0,0,1,6,4.8,2025-01-30
Christian Koloko,LAL,WAS,W,6.98,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,4,4.7,2025-01-30
Jake LaRavia,MEM,HOU,W,10.4,1,1,1.0,1,1,1.0,2,2,1.0,1,1,2,0,0,0,1,0,5,4.7,2025-01-30
Justin Champagnie,WAS,LAL,L,16.28,2,5,0.4,0,2,0.0,2,2,1.0,2,1,3,1,0,1,1,2,6,4.6,2025-01-30
Leonard Miller,MIN,UTA,W,4.05,1,3,0.333,0,0,0.0,4,4,1.0,2,1,3,0,0,0,1,1,6,4.6,2025-01-30
Kyle Kuzma,WAS,LAL,L,20.87,3,14,0.214,2,8,0.25,5,9,0.556,0,3,3,1,0,0,0,0,13,4.4,2025-01-30
Dalton Knecht,LAL,WAS,W,22.18,3,9,0.333,2,7,0.286,2,2,1.0,0,1,1,0,0,0,1,0,10,4.2,2025-01-30
Bronny James,LAL,WAS,W,12.0,1,6,0.167,0,2,0.0,3,3,1.0,0,2,2,2,1,0,0,2,5,3.4,2025-01-30
Julius Randle,MIN,UTA,W,10.25,3,7,0.429,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,6,3.3,2025-01-30
Jared Butler,WAS,LAL,L,17.4,2,6,0.333,0,1,0.0,4,5,0.8,0,0,0,3,0,0,2,3,8,3.1,2025-01-30
Gary Harris,ORL,POR,L,13.3,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,0,0,1,0,1,3,3.0,2025-01-30
Goga Bitadze,ORL,POR,L,17.88,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,2,1,1,2,3,2,2.9,2025-01-30
Bilal Coulibaly,WAS,LAL,L,26.1,2,6,0.333,0,2,0.0,2,2,1.0,2,1,3,0,0,0,1,1,6,2.9,2025-01-30
Cam Whitmore,HOU,MEM,L,16.92,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,2,1,0,1,3,5,2.8,2025-01-30
Patrick Baldwin Jr.,WAS,LAL,L,6.98,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,0,3,2.6,2025-01-30
Rayan Rupert,POR,ORL,W,3.8,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,3,1.9,2025-01-30
Dominick Barlow,ATL,CLE,L,4.72,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,2025-01-30
Kyle Filipowski,UTA,MIN,L,14.42,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1.6,2025-01-30
Vit Krejci,ATL,CLE,L,20.82,2,3,0.667,1,2,0.5,1,2,0.5,1,0,1,0,0,0,1,6,6,1.6,2025-01-30
Kentavious Caldwell-Pope,ORL,POR,L,23.95,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,1.5,2025-01-30
Zach Edey,MEM,HOU,W,17.32,2,4,0.5,0,1,0.0,1,2,0.5,1,1,2,2,0,0,2,4,5,1.4,2025-01-30
Jonas Valančiūnas,WAS,LAL,L,17.8,1,8,0.125,0,1,0.0,3,3,1.0,1,2,3,3,0,0,1,2,5,1.4,2025-01-30
Tristan Da Silva,ORL,POR,L,20.65,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,1,1,1,0,1.3,2025-01-30
Caleb Houstan,ORL,POR,L,4.8,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,1.3,2025-01-30
Johnny Davis,WAS,LAL,L,10.15,0,2,0.0,0,1,0.0,2,2,1.0,0,2,2,0,1,0,1,0,2,1.2,2025-01-30
Bryce McGowens,POR,ORL,W,3.4,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,1,1.0,2025-01-30
Josh Minott,MIN,UTA,W,7.8,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,1.0,2025-01-30
Craig Porter Jr.,CLE,ATL,W,8.57,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,1.0,2025-01-30
Jae'Sean Tate,HOU,MEM,L,10.7,0,2,0.0,0,0,0.0,1,2,0.5,2,0,2,1,1,0,1,1,1,0.9,2025-01-30
Tristan Thompson,CLE,ATL,W,3.7,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.9,2025-01-30
Walker Kessler,UTA,MIN,L,26.82,1,6,0.167,0,2,0.0,0,0,0.0,1,7,8,0,2,0,1,3,2,0.8,2025-01-30
Joe Ingles,MIN,UTA,W,3.85,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,0.6,2025-01-30
Anthony Gill,WAS,LAL,L,6.13,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2025-01-30
Kris Murray,POR,ORL,W,6.45,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.3,2025-01-30
